accent,speaker_label,gender,word,start_time,end_time,vowel_phoneme,class,formant_1,formant_2,formant_3
brm_001,alw001,F,hard,4.812,5.022,AA,1,798.1047,1137.8611,2990.6073
brm_001,alw001,F,head,2.93,2.986,EH,2,763.6447,2364.9183,3126.4781
brm_001,alw001,F,hoed,16.909,17.073,OW,3,648.5709,1659.9122,2890.6572
brm_001,cxb001,F,hard,3.801,3.936,AA,1,859.2465,977.4035,2900.8164
brm_001,cxb001,F,head,2.644,2.717,EH,2,757.7124,2280.9455,3223.7855
brm_001,cxb001,F,hoed,13.426,13.501,OW,3,669.0459,1596.3273,2908.5606
brm_001,jah001,F,hard,5.063,5.188,AA,1,835.5445,1343.4505,3020.3131
brm_001,jah001,F,head,3.11,3.231,EH,2,769.4784,2381.4064,3282.7647
brm_001,jah001,F,hoed,25.799,25.955,OW,3,688.225,2060.0445,2950.2977
brm_001,jep001,F,hard,4.398,4.499,AA,1,982.4699,1362.7176,2822.2985
brm_001,jep001,F,head,3.125,3.196,EH,2,834.338,2432.8889,2885.6334
brm_001,jep001,F,hoed,16.233,16.297,OW,3,846.6955,1953.7306,2904.5598
brm_001,knb001,F,hard,4.221,4.313,AA,1,775.5003,1203.3402,2874.3129
brm_001,knb001,F,head,2.569,2.617,EH,2,735.2354,2386.7621,3115.1552
brm_001,knb001,F,hoed,11.995,12.058,OW,3,717.4625,1677.1984,2834.4515
brm_001,ajh001,M,hard,4.574,4.658,AA,1,776.9787,1037.3536,2946.4529
brm_001,ajh001,M,head,2.98,3.052,EH,2,533.9011,2068.7064,2727.7637
brm_001,ajh001,M,hoed,13.589,13.634,OW,3,621.6267,1525.0684,2912.9915
brm_001,apd001,M,hard,3.459,3.555,AA,1,666.9257,1058.9906,2758.8363
brm_001,apd001,M,head,2.253,2.307,EH,2,537.1639,1943.9058,2587.5986
brm_001,apd001,M,hoed,13.865,13.933,OW,3,590.7675,1282.1539,2582.8928
brm_001,ars001,M,hard,6.179,6.263,AA,1,611.7861,1042.6898,2728.9211
brm_001,ars001,M,head,4.426,4.493,EH,2,580.2026,1780.8643,2524.1026
brm_001,ars001,M,hoed,27.907,28.011,OW,3,631.365,1366.0665,2369.9168
brm_001,axm001,M,hard,5.34,5.393,AA,1,834.8467,1064.5628,2592.4874
brm_001,axm001,M,head,3.32,3.385,EH,2,729.558,1857.244,2686.2341
brm_001,axm001,M,hoed,17.734,17.779,OW,3,631.5942,1593.885,2648.6474
brm_001,ikp001,M,hard,5.539,5.645,AA,1,739.0714,977.5605,2820.7003
brm_001,ikp001,M,head,3.553,3.611,EH,2,603.4026,2139.0982,2729.9737
brm_001,ikp001,M,hoed,18.381,18.435,OW,3,555.1355,1445.079,2314.0797
gla_001,lea001,F,hard,4.631,4.702,AA,1,820.4512,1561.7519,2447.1214
gla_001,lea001,F,head,2.898,2.966,EH,2,378.2975,2719.4785,3157.4495
gla_001,lea001,F,hoed,16.808,16.859,OW,3,720.8466,2002.1317,3168.3946
gla_001,lna001,F,hard,8.069,8.143,AA,1,871.0465,1178.4921,2852.55
gla_001,lna001,F,head,4.886,4.965,EH,2,484.266,2483.5558,3033.7553
gla_001,lna001,F,hoed,31.226,31.278,OW,3,417.9438,1451.9006,2649.0703
gla_001,lxd001,F,hard,3.146,3.207,AA,1,869.4775,1544.4774,2894.3866
gla_001,lxd001,F,head,1.6,1.674,EH,2,602.0351,2495.8584,3339.5574
gla_001,lxd001,F,hoed,11.837,11.889,OW,3,290.7454,740.219,2872.32
gla_001,mad001,F,hard,6.242,6.311,AA,1,923.237,1342.1759,2485.1269
gla_001,mad001,F,head,3.729,3.795,EH,2,532.0946,2322.2805,2894.006
gla_001,mad001,F,hoed,18.485,18.562,OW,3,448.145,918.8805,2577.6819
gla_001,ses001,F,hard,4.756,4.824,AA,1,859.0121,1485.4893,2411.7012
gla_001,ses001,F,head,2.936,3.02,EH,2,632.2009,2402.8246,2989.4798
gla_001,ses001,F,hoed,24.511,24.645,OW,3,567.2639,2058.2602,2720.3207
gla_001,sgd001,M,hard,4.127,4.172,AA,1,815.6997,1199.6249,2935.3391
gla_001,sgd001,M,head,2.646,2.699,EH,2,517.5634,2299.4931,2712.1984
gla_001,sgd001,M,hoed,13.067,13.105,OW,3,347.9122,591.1624,3250.0974
gla_001,sxm001,M,hard,4.517,4.583,AA,1,1022.3737,1137.927,3049.2287
gla_001,sxm001,M,head,2.916,2.97,EH,2,573.9269,1880.3372,2350.3402
gla_001,sxm001,M,hoed,13.715,13.777,OW,3,707.9123,2509.9893,3268.9353
gla_001,wht001,M,hard,5.834,5.9,AA,1,790.9359,1092.6774,2521.5543
gla_001,wht001,M,head,3.905,3.978,EH,2,453.8968,2039.4296,2563.2917
gla_001,wht001,M,hoed,17.471,17.534,OW,3,750.3766,2452.7839,3163.3719
gla_001,wnh001,M,hard,4.693,4.748,AA,1,801.2716,1203.6563,2799.3219
gla_001,wnh001,M,head,3.415,3.462,EH,2,569.8417,1886.1761,2605.0056
gla_001,wnh001,M,hoed,13.098,13.137,OW,3,850.4952,2431.56,3494.379
gla_001,wxr001,M,hard,7.932,8.009,AA,1,698.8929,805.0194,2827.7128
gla_001,wxr001,M,head,6.095,6.173,EH,2,506.6703,1914.4056,2801.1125
gla_001,wxr001,M,hoed,19.401,19.45,OW,3,446.5352,929.1916,2763.3166
lvp_001,cxm001,F,hard,3.724,3.783,AA,1,762.3677,1114.2449,2632.3635
lvp_001,cxm001,F,head,2.356,2.396,EH,2,763.0878,2063.8127,2859.6007
lvp_001,cxm001,F,hoed,11.938,12.002,OW,3,433.8158,1771.3799,2501.0431
lvp_001,eah001,F,hard,6.282,6.342,AA,1,768.4585,1302.0803,2746.5798
lvp_001,eah001,F,head,4.013,4.078,EH,2,786.8697,2054.0642,2961.0093
lvp_001,eah001,F,hoed,20.659,20.703,OW,3,515.1316,2185.4879,2845.6464
lvp_001,jrk001,F,hard,4.211,4.268,AA,1,755.3332,1070.6242,2946.9357
lvp_001,jrk001,F,head,2.441,2.495,EH,2,862.0818,2154.1044,2695.6171
lvp_001,jrk001,F,hoed,16.487,16.537,OW,3,727.8867,1675.0606,2817.9126
lvp_001,jxh001,F,hard,3.0556,3.104,AA,1,840.7644,1212.8467,2375.9267
lvp_001,jxh001,F,head,1.963,2.025,EH,2,937.5643,2014.2506,2689.6752
lvp_001,jxh001,F,hoed,20.221,20.299,OW,3,678.3944,1869.9057,2575.2091
lvp_001,kjd001,F,hard,4.655,4.718,AA,1,774.5789,1202.6917,2974.5953
lvp_001,kjd001,F,head,2.678,2.737,EH,2,820.549,1919.0123,2858.8251
lvp_001,kjd001,F,hoed,26.199,26.28,OW,3,588.161,1730.4193,2634.2807
lvp_001,aaj001,M,hard,3.421,3.464,AA,1,700.9996,1018.8318,2624.26
lvp_001,aaj001,M,head,2.496,2.546,EH,2,621.3877,1587.8137,2773.5798
lvp_001,aaj001,M,hoed,12.002,12.042,OW,3,799.3872,2632.1393,2963.9102
lvp_001,cts001,M,hard,2.29,2.314,AA,1,688.3405,1271.6914,2200.3559
lvp_001,cts001,M,head,1.523,1.56,EH,2,603.1047,1592.7466,2499.7963
lvp_001,cts001,M,hoed,13.542,13.586,OW,3,615.567,980.8182,2380.6565
lvp_001,dgf001,M,hard,3.809,3.876,AA,1,859.5007,2271.6789,3319.5757
lvp_001,dgf001,M,head,2.384,2.428,EH,2,750.5963,1692.5885,2486.4159
lvp_001,dgf001,M,hoed,11.996,12.033,OW,3,631.2985,870.1508,2637.8997
lvp_001,dwl001,M,hard,6.431,6.515,AA,1,759.266,1121.5254,2552.8452
lvp_001,dwl001,M,head,4.546,4.588,EH,2,719.1966,1713.7506,2482.2496
lvp_001,dwl001,M,hoed,25.042,25.101,OW,3,788.3662,2107.4023,3004.7041
lvp_001,jco001,M,hard,9.352,9.414,AA,1,682.4869,1205.3668,3057.7641
lvp_001,jco001,M,head,7.399,7.462,EH,2,648.455,1603.6093,2612.2072
lvp_001,jco001,M,hoed,26.33,26.35,OW,3,263.4076,2081.0016,2811.3737
roi_001,axm001,F,hard,2.9,2.937,AA,1,750.1301,1608.8727,2364.391
roi_001,axm001,F,head,1.729,1.791,EH,2,623.2188,2343.9619,2916.883
roi_001,axm001,F,hoed,9.185,9.242,OW,3,542.3835,1139.0293,2681.133
roi_001,cas001,F,hard,2.86,2.904,AA,1,874.0024,1655.1383,2192.4951
roi_001,cas001,F,head,1.794,1.828,EH,2,749.1685,2249.2059,3233.798
roi_001,cas001,F,hoed,11.94,11.999,OW,3,553.6099,795.8367,2793.047
roi_001,cmd001,F,hard,7.265,7.328,AA,1,819.3542,1291.3459,2859.1353
roi_001,cmd001,F,head,5.467,5.522,EH,2,707.4354,2166.0263,3191.8328
roi_001,cmd001,F,hoed,17.408,17.451,OW,3,614.2421,923.1877,2841.0331
roi_001,cnf001,F,hard,3.714,3.761,AA,1,926.7812,1357.6426,2568.3761
roi_001,cnf001,F,head,2.395,2.439,EH,2,798.5779,2102.9081,2873.4799
roi_001,cnf001,F,hoed,12.81,12.846,OW,3,605.7303,970.5516,2713.4981
roi_001,hmm001,F,hard,4.18,4.234,AA,1,738.2579,1162.2351,2182.6302
roi_001,hmm001,F,head,2.825,2.862,EH,2,693.8568,1938.2144,2473.9249
roi_001,hmm001,F,hoed,16.173,16.219,OW,3,521.9762,1146.6799,2502.9675
roi_001,aor001,M,hard,4.05,4.11,AA,1,807.4729,1499.2814,2126.866
roi_001,aor001,M,head,3.024,3.089,EH,2,670.6896,1963.4005,2687.9386
roi_001,aor001,M,hoed,12.764,12.841,OW,3,517.1668,1007.3099,2386.5844
roi_001,cpd001,M,hard,6.402,6.465,AA,1,805.9385,1074.2939,2331.2714
roi_001,cpd001,M,head,4.652,4.737,EH,2,670.6894,1713.8903,2610.7797
roi_001,cpd001,M,hoed,18.455,18.514,OW,3,965.9096,2371.1136,3191.3433
roi_001,djd001,M,hard,4.326,4.366,AA,1,795.8387,1380.7064,2476.4065
roi_001,djd001,M,head,2.751,2.795,EH,2,591.1695,1975.401,2719.8116
roi_001,djd001,M,hoed,18.917,18.971,OW,3,483.2788,1020.4242,2620.3196
roi_001,gwd001,M,hard,2.722,2.77,AA,1,676.5606,1480.9256,2294.6147
roi_001,gwd001,M,head,1.684,1.747,EH,2,622.5782,1751.6403,2440.6656
roi_001,gwd001,M,hoed,18.913,18.965,OW,3,812.8513,2381.1195,3573.85
roi_001,ipd001,M,hard,7.164,7.224,AA,1,773.7182,1324.3973,2195.5873
roi_001,ipd001,M,head,4.876,4.928,EH,2,605.1126,1890.1411,2502.44
roi_001,ipd001,M,hoed,23.809,23.856,OW,3,676.0813,2697.2998,3526.463
sse_001,mjo001,F,hard,5.647,5.736,AA,1,965.0375,1204.4091,3360.5268
sse_001,mjo001,F,head,3.551,3.606,EH,2,939.6474,2118.5794,2706.8348
sse_001,mjo001,F,hoed,16.141,16.213,OW,3,840.6986,1785.36,3003.0979
sse_001,njb001,F,hard,5.669,5.731,AA,1,794.4454,1204.729,2745.0401
sse_001,njb001,F,head,3.334,3.409,EH,2,805.4071,1992.2773,2461.2836
sse_001,njb001,F,hoed,18.015,18.063,OW,3,659.3054,1856.8126,2806.0077
sse_001,nta001,F,hard,4.283,4.351,AA,1,774.9468,1183.8554,2648.5256
sse_001,nta001,F,head,3.225,3.278,EH,2,784.4416,2120.3922,3195.2751
sse_001,nta001,F,hoed,21.733,21.795,OW,3,623.3573,1741.225,2624.7128
sse_001,sce001,F,hard,4.136,4.189,AA,1,757.522,1083.2629,3028.3214
sse_001,sce001,F,head,2.763,2.793,EH,2,800.9335,1944.8728,2987.1717
sse_001,sce001,F,hoed,12.974,13.006,OW,3,629.6842,1634.5582,2746.5907
sse_001,wjh001,F,hard,5.408,5.467,AA,1,791.4339,1193.6442,2943.6642
sse_001,wjh001,F,head,2.986,3.052,EH,2,670.3049,2067.4662,2819.8444
sse_001,wjh001,F,hoed,17.482,17.546,OW,3,695.1834,1526.8676,2717.2797
sse_001,ais001,M,hard,4.962,5.01,AA,1,674.663,1050.2505,2700.1657
sse_001,ais001,M,head,3.126,3.151,EH,2,654.0201,1805.5603,2581.2433
sse_001,ais001,M,hoed,18.813,18.849,OW,3,616.4347,1338.4029,2374.0314
sse_001,dme001,M,hard,5.539,5.617,AA,1,710.4,1083.7695,2882.8782
sse_001,dme001,M,head,3.422,3.487,EH,2,575.1372,1810.2384,2658.6996
sse_001,dme001,M,hoed,20.389,20.448,OW,3,599.1361,1425.0634,3187.3472
sse_001,hak001,M,hard,4.934,4.977,AA,1,950.1305,1391.4137,2626.3772
sse_001,hak001,M,head,3.684,3.739,EH,2,715.6076,1797.828,2627.1296
sse_001,hak001,M,hoed,18.857,18.903,OW,3,584.4534,1361.1126,2588.9283
sse_001,jph001,M,hard,6.422,6.491,AA,1,995.2273,10017.1567,2774.5066
sse_001,jph001,M,head,4.123,4.171,EH,2,667.9023,1916.8476,2732.8312
sse_001,jph001,M,hoed,19.874,19.935,OW,3,580.8253,1770.2691,2581.0948
sse_001,kmp001,M,hard,6.087,6.14,AA,1,839.6432,1180.1181,2495.2045
sse_001,kmp001,M,head,4.407,4.454,EH,2,734.2402,2044.0641,2614.2846
sse_001,kmp001,M,hoed,15.783,15.829,OW,3,1243.0446,2133.7322,3557.8532
